ConstituentSegmentId,ConstituentSegmentTypeId,Name
31dac6c2-1823-4893-87dc-263fa3d5048b,bd4f29cf-54e2-4b2a-87ef-1eb7517edbf3,Active
cdd1870f-081f-4931-ab36-178d106589ca,bd4f29cf-54e2-4b2a-87ef-1eb7517edbf3,LYBNT T12M
5e13a0c5-ff0b-4c25-ae82-6f623e349081,bd4f29cf-54e2-4b2a-87ef-1eb7517edbf3,LYBNT CY
95bbf129-1a61-4cb8-8810-5c9dd9657f4f,bd4f29cf-54e2-4b2a-87ef-1eb7517edbf3,LYBNT FY
99c926f4-9c7e-42c8-acfb-19da79e30bef,bd4f29cf-54e2-4b2a-87ef-1eb7517edbf3,Lapsed Donor
e43363f5-1c98-4e76-ba1e-80e6c698dba0,bd4f29cf-54e2-4b2a-87ef-1eb7517edbf3,Recurring Donor
0d3d95cd-af9d-4749-bc80-8a4a89076c97,bd4f29cf-54e2-4b2a-87ef-1eb7517edbf3,Prospect
fd148f39-5879-4649-9038-93cfc6918ebe,bd4f29cf-54e2-4b2a-87ef-1eb7517edbf3,New Donor
3cf63c19-8e77-4f61-99ce-e6f913ba3259,8ba567e7-e54d-40a3-9690-0543618983ce,<18
3b2a4063-7f21-4b6e-88bb-3db8b21f2337,8ba567e7-e54d-40a3-9690-0543618983ce,18-24
f1f0ea9d-abfb-423a-b8ec-c876c9aa8afb,8ba567e7-e54d-40a3-9690-0543618983ce,25-34
9069197e-9e1b-4576-8c00-cfbc65e42bd0,8ba567e7-e54d-40a3-9690-0543618983ce,35-44
f38ebd4f-e90f-4823-acae-9efd4404b4cd,8ba567e7-e54d-40a3-9690-0543618983ce,45-54
d455443a-f8ff-462c-95a0-76040b3112d3,8ba567e7-e54d-40a3-9690-0543618983ce,55-64
5f17148b-64ff-44e4-87a3-47e8bf0b89d2,8ba567e7-e54d-40a3-9690-0543618983ce,65-74
d088a14c-df28-4f86-bad7-7ed3d64224ea,8ba567e7-e54d-40a3-9690-0543618983ce,>75
47109ac4-ae81-440f-a466-f43cbe789ae0,8ba567e7-e54d-40a3-9690-0543618983ce,Unclassified
c5555875-d10f-4e69-8398-f66c103c9026,cd386615-9f69-4567-9f4b-51349ba8ea73,<$250
df302290-ff30-4e83-ae49-38d901d4b002,cd386615-9f69-4567-9f4b-51349ba8ea73,$250–$999
bbdfa559-a9fa-4c9a-84a5-d4f3b06ab488,cd386615-9f69-4567-9f4b-51349ba8ea73,$1,000–$4,999
5090b591-032b-44e1-94a1-16034287b3e9,cd386615-9f69-4567-9f4b-51349ba8ea73,$5,000–$9,999
46da4e8a-7c6f-4bfb-a236-6737c4ddbe2e,cd386615-9f69-4567-9f4b-51349ba8ea73,$10,000–$24,999
fd610788-2058-4e62-bb90-d2938aa597d0,cd386615-9f69-4567-9f4b-51349ba8ea73,$25,000–$49,999
d4896c03-0c01-4574-85fc-3718f41e6c12,cd386615-9f69-4567-9f4b-51349ba8ea73,$50,000–$99,999
753b5c8e-3393-4f7a-b06d-58a0884a6809,cd386615-9f69-4567-9f4b-51349ba8ea73,$100,000–$499,999
a44a399e-4192-4fd2-9a7f-b7c539d4c7cc,cd386615-9f69-4567-9f4b-51349ba8ea73,$500,000–$999,999
08e7840e-6ea0-471e-ba52-9f69c1c29166,cd386615-9f69-4567-9f4b-51349ba8ea73,$1,000,000+
